,column1,Column2,Column3
238,,CENTURY LENDING INC.,20-Jun-17
239,,CHMI LENDING INVESTORS INC.,20-Jun-17
240,,CN TRADERS LENDING INVESTOR CORP.,20-Jun-17
241,,"CREDEX, INC.",20-Jun-17
242,,CREDIT EXPONENTS INC.,20-Jun-17
243,,CREST CREDIT CORP.,20-Jun-17
244,,D.M. LENDING INVESTOR CORP.,20-Jun-17
245,,FAMILY COUNTRY LOANS CORP.,20-Jun-17
246,,"FAMILY EXPRESS LENDING, INC.",20-Jun-17
247,,FINANCIAL FACTORS LENDING INVESTORS INC.,20-Jun-17
248,,FIRST ACTIVE CAPITAL CORP.,20-Jun-17
249,,"FIRST ASIA RESOURCES & MANAGERS, INC.",20-Jun-17
250,,FIRST BULACAN LENDING CORP.,20-Jun-17
251,,FIRST CONSUMER LENDING RESOURCES CORP.,20-Jun-17
252,,FIRST LUCENA DEVELOPERS CREDIT CORP.,20-Jun-17
253,,FORTUNE LENDERS INC.,20-Jun-17
254,,"GLM LENDING INVESTORS, INC.",20-Jun-17
255,,"GOLDTECH PAWNBROKERS, INC.",20-Jun-17
256,,GOODWILL HAPPY LENDERS CORP.,20-Jun-17
257,,GRAND LENDING INVESTOR INC.,20-Jun-17
258,,GUADALUPE LENDING INVESTORS INC.,20-Jun-17
259,,I.M.S. LENDING INVESTOR CORP.,20-Jun-17
260,,J.N.R. LENDING INVESTORS INC.,20-Jun-17
261,,JOE MER LENDING INVESTOR INC.,20-Jun-17
262,,KABAYAN LOANS CORP.,20-Jun-17
263,,KAUSWAGAN LENDING INVESTORS INC.,20-Jun-17
264,,"KL CREDIT, INC.",20-Jun-17
265,,LA NAVAL LENDING INVESTORS INC.,20-Jun-17
266,,LION LENDING INVESTOR CORP.,20-Jun-17
267,,LIPA UNI-PRIME LENDING INVESTOR CORP.,20-Jun-17
268,,LOANASIA INVESTORS CORP.,20-Jun-17
269,,LUCENA CREDIT FUNDERS INC.,20-Jun-17
270,,M.J. LENDING INVESTOR INC.,20-Jun-17
271,,MAGNETIC LENDING CORP.,20-Jun-17
272,,MAHARLIKA CREDIT & LOANS CORP.,20-Jun-17
273,,"MANALASTAS LENDING INVESTOR, INC.",20-Jun-17
274,,"MCL LENDING INVESTOR, INC.",20-Jun-17
275,,"MELCAR LENDING INVESTOR, INC.",20-Jun-17
276,,MENDEZ CREDIT CORP.,20-Jun-17
277,,"MONIMART LENDING INVESTORS, INC.",20-Jun-17
278,,"MS LENDING INVESTOR, INC.",20-Jun-17
279,,NEWTOWN LOANS & CREDIT CORP.,20-Jun-17
280,,P.R. FUNDS LENDING CORP.,20-Jun-17
281,,"PASAY LENDING INVESTORS, INC.",20-Jun-17
282,,PILIPINAS LOAN CO. INC.,20-Jun-17
283,,PLA CREDIT & DEV. CORP.,20-Jun-17
284,,PLAZA LENDING INVESTOR INC.,20-Jun-17
285,,PREMIERE CREDIT INVESTORS CORP.,20-Jun-17
286,,"ROCKWELL LENDING INVESTOR, INC.",20-Jun-17
287,,SAN JOSE LENDING INVESTOR (LENDVEST) INC.,20-Jun-17
288,,"SEVEN LAKES PROGRESSIVE LENDING INVESTORS, INC.",20-Jun-17
289,,SILANGAN LENDING CORP. OF STA. MARIA BULACAN,20-Jun-17
290,,SOLIDLINK CREDIT & LOAN CO. INC.,20-Jun-17
291,,SOUTH CREDIT CORP.,20-Jun-17
292,,"SPHERE LENDING, INC.",20-Jun-17
293,,STA. CRUZ LENDING INVESTOR CORP.,20-Jun-17
294,,STA. ROSA LENDING INVESTOR INC.,20-Jun-17
295,,STARLIGHT LENDING INVESTOR INC.,20-Jun-17
296,,STRONBACK INC.,20-Jun-17
297,,T.D. LENDING INVESTOR INC.,20-Jun-17
298,,TEACHERS ASSISTANCE PROGRAMMERS INC.,20-Jun-17
299,,TRI CORNER CREDIT CORP.,20-Jun-17
300,,UNIHOUSE CORP.,20-Jun-17
301,,UNITED M CREDIT & LENDING CORP.,20-Jun-17
302,,V.R. GONZALES CREDIT ENTS. INC.,20-Jun-17
303,,YOURS LENDING INVESTOR CORP.,20-Jun-17
304,,"ANGELES LENDING INVSTOR, INC.",06-Jun-17
305,,"ASIAN GRACE LENDING PHILS , INC.",06-Jun-17
306,,CHAMPION LENDING CORPORATION,06-Jun-17
307,,CHARM LENDING INVESTOR CORPORATION,06-Jun-17
308,,CHARTON LENDING CORP.,06-Jun-17
309,,CLIA LENDING INVESTOR INC.,06-Jun-17
310,,DELSI LENDING CORP.,06-Jun-17
311,,"DEVCON RESOURCES LENDING INVESTORS, INC.",06-Jun-17
312,,DREAM LENDING INVESTOR CORP.,06-Jun-17
313,,EMINENCE LENDING INVESTOR INC.,06-Jun-17
314,,ETC LENDING INVESTOR INC.,06-Jun-17
315,,EVERBEST LENDING INVESTOR,06-Jun-17
316,,"EXPRESSADVANCE, INC.",06-Jun-17
317,,F.R.D. LENDING CO.,06-Jun-17
318,,GOLDEN COIN COLLECTION LENDING CORPORATION,06-Jun-17
319,,GREEN HOPE CREDIT CORP.,06-Jun-17
320,,GRV2 LENDING CORP.,06-Jun-17
321,,KABALIKAT SA HANAPBUHAY LENDING CORP.,06-Jun-17
322,,KAPALARAN LOANS & CREDIT CORP,06-Jun-17
323,,KIANGAN CREDIT RESOURCES & TRADING CORP.,06-Jun-17
324,,LENDING MARKETS OF CEBU CORP.,06-Jun-17
325,,"LENDIX HAUS, INC.",06-Jun-17
326,,LIGAYA PROPERTIES INC.,06-Jun-17
327,,"LKT LENDING CO, INC.",06-Jun-17
328,,LVK & VLK LENDING CORP.,06-Jun-17
329,,MANILA TEACHERS CREDIT CORPORATION,06-Jun-17
330,,METRO ASIA PACIFIC CREDIT CORP.,06-Jun-17
331,,METRO SUNRISE LENDING CORP.,06-Jun-17
332,,"MIDTOWN LENDING INVESTORS, INC.",06-Jun-17
